code,name,status,latitude,longitude
LOW,Lo Wu,1,22.5284N,114.1134E
LMC,Lok Ma Chau,1,22.5144N,114.0657E
KTU,Kwu Tung,0,22.5076N,114.1001E
SHS,Sheung Shui,1,22.5012N,114.128E
FAN,Fanling,1,22.4921N,114.1387E
TWO,Tai Wo,1,22.4511N,114.1611E
TAP,Tai Po Market,1,22.4446N,114.1706E
UNI,University,1,22.4134N,114.2102E
RAC,Racecourse,1,22.4004N,114.2029E
FOT,Fo Tan,1,22.3953N,114.1982E
SHT,Sha Tin,1,22.3825N,114.1875E
TAW,Tai Wai,1,22.3731N,114.1786E
KOT,Kowloon Tong,1,22.3370N,114.1763E
MKK,Mong Kok East,1,22.3222N,114.1728E
HUH,Hung Hom,1,22.3029N,114.1816E
WHA,Whampoa,0,22.3050N,114.1896E
HOM,Ho Man Tin,0,22.3093N,114.1829E
YMT,Yau Ma Tei,1,22.3129N,114.1707E
MOK,Mong Kok,1,22.3192N,114.1694E
PRE,Prince Edward,1,22.3245N,114.1683E
SKM,Shek Kip Mei,1,22.3320N,114.1687E
LOF,Lok Fu,1,22.3380N,114.1871E
WTS,Wong Tai Sin,1,22.3417N,114.1939E
DIH,Diamond Hill,1,22.3401N,114.2016E
CHH,Chou Hung,1,22.3348N,114.2089E
KOB,Kowloon Bay,1,22.3235N,114.2141E
NTK,Ngau Tau Kok,1,22.3154N,114.2193E
KWT,Kwun Tong,1,22.3121N,114.2265E
LAT,Lam Tin,1,22.3068N,114.2330E
YAT,Yau Tong,1,22.2979N,114.2371E
TIK,Tiu Keng Leng,1,22.3041N,114.2524E
TSW,Tsuen Wan,1,22.3736N,114.1178E
TWH,Tai Wo Hau,1,22.3708N,114.1250E
KWH,Kwai Hing,1,22.3632N,114.1312E
KWF,Kwai Fong,1,22.3569N,114.1279E
LAK,Lai King,1,22.3484N,114.1261E
MEF,Mei Foo,1,22.3381N,114.1376E
LCK,Lai Chi Kok,1,22.3373N,114.1482E
CSW,Cheung Sha Wan,1,22.3354N,114.1563E
SSP,Sham Shui Po,1,22.3307N,114.1623E
JOR,Jordan,1,22.3049N,114.1718E
TST,Tsim Sha Tsui,1,22.2973N,114.1722E
ADM,Admiralty,1,22.2788N,114.1646E
KET,Kennedy Town,0,22.2812N,114.1285E
HKU,HKU,0,22.2841N,114.1356E
SYP,Sai Ying Pun,0,22.2856N,114.1427E
SHW,Sheung Wan,1,22.2862N,114.1518E
WAC,Wan Chai,1,22.2773N,114.1728E
CEN,Central,1,22.2820N,114.1576E
CAB,Causeway Bay,1,22.2802N,114.1835E
TIH,Tin Hau,1,22.2827N,114.1917E
FOH,Fortress Hill,1,22.2881N,114.1936E
NOP,North Point,1,22.2909N,114.2007E
QUB,Quarry Bay,1,22.2878N,114.2096E
TAK,Tai Koo,1,22.2846N,114.2161E
SWH,Sai Wan Ho,1,22.2816N,114.2224E
SKW,Shau Kei Wan,1,22.2789N,114.2289E
HFC,Heng Fa Chuen,1,22.2769N,114.2398E
CHW,Chai Wan,1,22.2644N,114.2368E
TUC,Tung Chung,1,22.2893N,113.9416E
SUN,Sunny Bay,1,22.3318N,114.0288E
TSY,Tsing Yi,1,22.3584N,114.107E
NAC,Nam Cheong,1,22.3268N,114.1533E
OLY,Olympic,1,22.3178N,114.1602E
KOW,Kowloon,1,22.3049N,114.1615E
HOK,Hong Kong,1,22.2848N,114.158E
AWE,AsiaWorld-Expo,1,22.3218N,113.9412E
AIR,Airport,1,22.316N,113.9366E
POA,Po Lam,1,22.3224N,114.258E
HAH,Hang Hau,1,22.3156N,114.2644E
LHP,LOHAS Park,1,22.2957N,114.2689E
TKO,Tseung Kwan O,1,22.3074N,114.26E
TUN,Tuen Mun,1,,22.3952N,113.9731E
SIH,Siu Hong,1,22.412N,113.9786E
TIS,Tin Shui Wai,1,22.4481N,114.0046E
LOP,Long Ping,1,22.4477N,114.0253E
YUL,Yuen Long,1,22.4461N,114.0352E
KSR,Kam Sheung Road,1,22.4348N,114.0634E
TWW,Tsuen Wan West,1,22.3688N,114.1098E
AUS,Austin,1,22.3046N,114.1665E
ETS,East Tsim Sha Tsui,1,22.2955N,114.1754E
WKS,Wu Kai Sha,1,22.4291N,114.2438E
MOS,Ma On Shan,1,22.4247N,114.2316E
HEO,Heng On Station,1,22.4174N,114.2258E
TSH,Tai Shui Hang,1,22.4088N,114.223E
SHM,Shek Mun,1,22.3877N,114.2083E
CIO,City One,1,22.3828N,114.2035E
STW,Sha Tin Wai,1,22.3771N,114.195E
CKT,Che Kung Temple,1,22.3748N,114.1861E
DIS,Disneyland Resort Station,1,22.3155N,114.0451E
